name,email,website,mkto_id,sfdc_id
"Brooks Mo",Brooks.Mo@universityofarizona.com,www.universityofarizona.com,1007,17
"McClintock Tom",McClintock.Tom@bankofamerica.com,www.bankofamerica.com,1028,38
"Webster Daniel",Webster.Daniel@fanniemae.com,www.fanniemae.com,1101,111
"Buchanan Vern",Buchanan.Vern@bankofamerica.com,www.bankofamerica.com,1106,116
"Wilson Frederica",Wilson.Frederica@us.pg.com,www.us.pg.com,1114,124
"Schneider Bradley",Schneider.Bradley@bankofamerica.com,www.bankofamerica.com,1145,155
"Jenkins Lynn",Jenkins.Lynn@berkshirehathaway.com,www.berkshirehathaway.com,1168,178
"Johnson Mike",Johnson.Mike@fanniemae.com,www.fanniemae.com,1179,189
"Thompson Bennie G.",Thompson.Bennie.G@ibm.com,www.ibm.com,1224,234
"Kihuen Ruben J.",Kihuen.Ruben.J@universityofarizona.com,www.universityofarizona.com,1241,251
"Meng Grace",Meng.Grace@cardinalhealth.com,www.cardinalhealth.com,1264,274
"Fudge Marcia L.",Fudge.Marcia.L@adm.com,www.adm.com,1311,321
"Barletta Lou",Barletta.Lou@hp.com,www.hp.com,1337,347
"Conaway K. Michael",Conaway.K..Michael@fanniemae.com,www.fanniemae.com,1374,384
"Vela Filemon",Vela.Filemon@universityofarizona.com,www.universityofarizona.com,1397,407
"Beyer Don",Beyer.Don@fanniemae.com,www.fanniemae.com,1413,423
